date,h-l_1,c-o_1,h-cp_1,l-cp_1,diff_ema_1,diff_volume_1,cci_1,rsi_1,macd_1,kdjk_1,kdjd_1,wr_1,trend_1,h-l_2,c-o_2,h-cp_2,l-cp_2,diff_ema_2,diff_volume_2,cci_2,rsi_2,macd_2,kdjk_2,kdjd_2,wr_2,trend_2,h-l_3,c-o_3,h-cp_3,l-cp_3,diff_ema_3,diff_volume_3,cci_3,rsi_3,macd_3,kdjk_3,kdjd_3,wr_3,trend_3,h-l_4,c-o_4,h-cp_4,l-cp_4,diff_ema_4,diff_volume_4,cci_4,rsi_4,macd_4,kdjk_4,kdjd_4,wr_4,trend_4,target
2001-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0
2001-09-03,1.48,1.48,,,0.0,,,,0.0,38.2,46.07,85.39,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0
2001-09-10,2.0,1.6,-0.48,-2.48,-1.12,-0.55,-66.67,0.0,-0.05,26.65,39.6,96.44,-1.0,1.48,1.48,,,0.0,,,,0.0,38.2,46.07,85.39,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
2001-09-17,0.67,0.23,-0.43,-1.1,-0.99,0.46,-83.89,0.0,-0.08,22.36,33.85,86.22,1.0,2.0,1.6,-0.48,-2.48,-1.12,-0.55,-66.67,0.0,-0.05,26.65,39.6,96.44,-1.0,1.48,1.48,,,0.0,,,,0.0,38.2,46.07,85.39,-1.0,,,,,,,,,,,,,,1.0
2001-09-24,4.63,4.08,-1.55,-6.18,-4.03,0.27,-128.08,0.0,-0.26,19.79,29.16,85.37,1.0,0.67,0.23,-0.43,-1.1,-0.99,0.46,-83.89,0.0,-0.08,22.36,33.85,86.22,1.0,2.0,1.6,-0.48,-2.48,-1.12,-0.55,-66.67,0.0,-0.05,26.65,39.6,96.44,-1.0,1.48,1.48,,,0.0,,,,0.0,38.2,46.07,85.39,-1.0,1.0
2001-10-01,2.6,0.22,3.55,0.95,-0.43,-0.04,-49.97,38.41,-0.22,29.38,29.23,51.45,1.0,4.63,4.08,-1.55,-6.18,-4.03,0.27,-128.08,0.0,-0.26,19.79,29.16,85.37,1.0,0.67,0.23,-0.43,-1.1,-0.99,0.46,-83.89,0.0,-0.08,22.36,33.85,86.22,1.0,2.0,1.6,-0.48,-2.48,-1.12,-0.55,-66.67,0.0,-0.05,26.65,39.6,96.44,-1.0,1.0
2001-10-08,1.7,0.23,0.89,-0.81,0.23,0.14,-15.08,43.77,-0.15,38.11,32.19,44.42,1.0,2.6,0.22,3.55,0.95,-0.43,-0.04,-49.97,38.41,-0.22,29.38,29.23,51.45,1.0,4.63,4.08,-1.55,-6.18,-4.03,0.27,-128.08,0.0,-0.26,19.79,29.16,85.37,1.0,0.67,0.23,-0.43,-1.1,-0.99,0.46,-83.89,0.0,-0.08,22.36,33.85,86.22,1.0,1.0
2001-10-15,1.45,0.04,0.95,-0.5,0.72,0.47,14.18,48.65,-0.08,46.06,36.81,25.29,1.0,1.7,0.23,0.89,-0.81,0.23,0.14,-15.08,43.77,-0.15,38.11,32.19,44.42,1.0,2.6,0.22,3.55,0.95,-0.43,-0.04,-49.97,38.41,-0.22,29.38,29.23,51.45,1.0,4.63,4.08,-1.55,-6.18,-4.03,0.27,-128.08,0.0,-0.26,19.79,29.16,85.37,1.0,1.0
2001-10-22,1.75,0.58,0.65,-1.1,-0.02,-0.56,9.36,43.46,-0.07,48.92,40.85,20.0,1.0,1.45,0.04,0.95,-0.5,0.72,0.47,14.18,48.65,-0.08,46.06,36.81,25.29,1.0,1.7,0.23,0.89,-0.81,0.23,0.14,-15.08,43.77,-0.15,38.11,32.19,44.42,1.0,2.6,0.22,3.55,0.95,-0.43,-0.04,-49.97,38.41,-0.22,29.38,29.23,51.45,1.0,1.0
2001-10-29,1.43,0.0,1.16,-0.27,0.96,-0.27,23.96,52.8,0.0,54.59,45.43,3.43,1.0,1.75,0.58,0.65,-1.1,-0.02,-0.56,9.36,43.46,-0.07,48.92,40.85,20.0,1.0,1.45,0.04,0.95,-0.5,0.72,0.47,14.18,48.65,-0.08,46.06,36.81,25.29,1.0,1.7,0.23,0.89,-0.81,0.23,0.14,-15.08,43.77,-0.15,38.11,32.19,44.42,1.0,1.0
2001-11-05,1.34,1.31,-0.06,-1.41,0.52,2.55,17.08,49.82,0.03,61.53,50.8,12.97,1.0,1.43,0.0,1.16,-0.27,0.96,-0.27,23.96,52.8,0.0,54.59,45.43,3.43,1.0,1.75,0.58,0.65,-1.1,-0.02,-0.56,9.36,43.46,-0.07,48.92,40.85,20.0,1.0,1.45,0.04,0.95,-0.5,0.72,0.47,14.18,48.65,-0.08,46.06,36.81,25.29,1.0,1.0
2001-11-12,1.02,0.0,1.08,0.06,1.0,-0.07,60.76,55.48,0.09,72.47,58.02,12.74,1.0,1.34,1.31,-0.06,-1.41,0.52,2.55,17.08,49.82,0.03,61.53,50.8,12.97,1.0,1.43,0.0,1.16,-0.27,0.96,-0.27,23.96,52.8,0.0,54.59,45.43,3.43,1.0,1.75,0.58,0.65,-1.1,-0.02,-0.56,9.36,43.46,-0.07,48.92,40.85,20.0,1.0,-1.0
2001-11-19,1.18,0.25,0.36,-0.82,1.09,1.02,56.73,57.74,0.14,80.92,65.66,7.13,-1.0,1.02,0.0,1.08,0.06,1.0,-0.07,60.76,55.48,0.09,72.47,58.02,12.74,1.0,1.34,1.31,-0.06,-1.41,0.52,2.55,17.08,49.82,0.03,61.53,50.8,12.97,1.0,1.43,0.0,1.16,-0.27,0.96,-0.27,23.96,52.8,0.0,54.59,45.43,3.43,1.0,-1.0
2001-11-26,0.81,0.74,0.48,-0.33,0.9,-0.82,71.7,57.03,0.18,83.94,71.75,20.99,-1.0,1.18,0.25,0.36,-0.82,1.09,1.02,56.73,57.74,0.14,80.92,65.66,7.13,-1.0,1.02,0.0,1.08,0.06,1.0,-0.07,60.76,55.48,0.09,72.47,58.02,12.74,1.0,1.34,1.31,-0.06,-1.41,0.52,2.55,17.08,49.82,0.03,61.53,50.8,12.97,1.0,1.0
2001-12-03,1.11,1.01,0.46,-0.65,0.45,2.09,52.12,51.49,0.18,80.85,74.78,37.28,1.0,0.81,0.74,0.48,-0.33,0.9,-0.82,71.7,57.03,0.18,83.94,71.75,20.99,-1.0,1.18,0.25,0.36,-0.82,1.09,1.02,56.73,57.74,0.14,80.92,65.66,7.13,-1.0,1.02,0.0,1.08,0.06,1.0,-0.07,60.76,55.48,0.09,72.47,58.02,12.74,1.0,1.0
2001-12-10,1.91,0.08,1.37,-0.53,1.0,1.35,89.08,59.81,0.22,79.75,76.44,23.62,1.0,1.11,1.01,0.46,-0.65,0.45,2.09,52.12,51.49,0.18,80.85,74.78,37.28,1.0,0.81,0.74,0.48,-0.33,0.9,-0.82,71.7,57.03,0.18,83.94,71.75,20.99,-1.0,1.18,0.25,0.36,-0.82,1.09,1.02,56.73,57.74,0.14,80.92,65.66,7.13,-1.0,1.0
2001-12-17,1.15,0.78,-0.41,-1.55,-0.22,-0.57,33.97,43.54,0.17,65.07,72.65,86.31,1.0,1.91,0.08,1.37,-0.53,1.0,1.35,89.08,59.81,0.22,79.75,76.44,23.62,1.0,1.11,1.01,0.46,-0.65,0.45,2.09,52.12,51.49,0.18,80.85,74.78,37.28,1.0,0.81,0.74,0.48,-0.33,0.9,-0.82,71.7,57.03,0.18,83.94,71.75,20.99,-1.0,-1.0
