date,h-l_1,c-o_1,h-cp_1,l-cp_1,diff_ema_1,diff_volume_1,cci_1,rsi_1,macd_1,kdjk_1,kdjd_1,wr_1,trend_1,h-l_2,c-o_2,h-cp_2,l-cp_2,diff_ema_2,diff_volume_2,cci_2,rsi_2,macd_2,kdjk_2,kdjd_2,wr_2,trend_2,h-l_3,c-o_3,h-cp_3,l-cp_3,diff_ema_3,diff_volume_3,cci_3,rsi_3,macd_3,kdjk_3,kdjd_3,wr_3,trend_3,h-l_4,c-o_4,h-cp_4,l-cp_4,diff_ema_4,diff_volume_4,cci_4,rsi_4,macd_4,kdjk_4,kdjd_4,wr_4,trend_4,target
2000-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
2000-06-01,2.88,0.22,,,-0.0,,,,0.0,59.6,53.2,21.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0
2000-07-01,4.45,0.0,5.42,0.98,1.88,17.79,66.67,100.0,0.09,67.34,57.91,17.17,-1.0,2.88,0.22,,,-0.0,,,,0.0,59.6,53.2,21.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0
2000-08-01,5.91,2.88,2.91,-2.99,0.27,-0.3,51.81,70.51,0.07,62.63,59.49,46.8,-1.0,4.45,0.0,5.42,0.98,1.88,17.79,66.67,100.0,0.09,67.34,57.91,17.17,-1.0,2.88,0.22,,,-0.0,,,,0.0,59.6,53.2,21.2,1.0,,,,,,,,,,,,,,-1.0
2000-09-01,5.12,0.84,3.91,-1.22,2.58,1.54,75.68,84.2,0.19,72.06,63.68,9.09,-1.0,5.91,2.88,2.91,-2.99,0.27,-0.3,51.81,70.51,0.07,62.63,59.49,46.8,-1.0,4.45,0.0,5.42,0.98,1.88,17.79,66.67,100.0,0.09,67.34,57.91,17.17,-1.0,2.88,0.22,,,-0.0,,,,0.0,59.6,53.2,21.2,1.0,-1.0
2000-10-01,4.41,4.0,0.66,-3.75,0.47,-0.53,60.22,64.35,0.17,71.38,66.24,29.97,-1.0,5.12,0.84,3.91,-1.22,2.58,1.54,75.68,84.2,0.19,72.06,63.68,9.09,-1.0,5.91,2.88,2.91,-2.99,0.27,-0.3,51.81,70.51,0.07,62.63,59.49,46.8,-1.0,4.45,0.0,5.42,0.98,1.88,17.79,66.67,100.0,0.09,67.34,57.91,17.17,-1.0,-1.0
2000-11-01,6.58,6.58,0.39,-6.19,-1.39,1.08,-56.51,48.11,0.06,62.63,65.04,54.88,-1.0,4.41,4.0,0.66,-3.75,0.47,-0.53,60.22,64.35,0.17,71.38,66.24,29.97,-1.0,5.12,0.84,3.91,-1.22,2.58,1.54,75.68,84.2,0.19,72.06,63.68,9.09,-1.0,5.91,2.88,2.91,-2.99,0.27,-0.3,51.81,70.51,0.07,62.63,59.49,46.8,-1.0,1.0
2000-12-01,7.12,5.38,1.59,-5.53,-4.92,-0.18,-111.54,29.22,-0.24,43.61,57.9,94.41,1.0,6.58,6.58,0.39,-6.19,-1.39,1.08,-56.51,48.11,0.06,62.63,65.04,54.88,-1.0,4.41,4.0,0.66,-3.75,0.47,-0.53,60.22,64.35,0.17,71.38,66.24,29.97,-1.0,5.12,0.84,3.91,-1.22,2.58,1.54,75.68,84.2,0.19,72.06,63.68,9.09,-1.0,1.0
2001-01-01,5.86,1.44,5.05,-0.81,-1.27,1.4,-78.06,46.22,-0.28,41.76,52.52,61.96,1.0,7.12,5.38,1.59,-5.53,-4.92,-0.18,-111.54,29.22,-0.24,43.61,57.9,94.41,1.0,6.58,6.58,0.39,-6.19,-1.39,1.08,-56.51,48.11,0.06,62.63,65.04,54.88,-1.0,4.41,4.0,0.66,-3.75,0.47,-0.53,60.22,64.35,0.17,71.38,66.24,29.97,-1.0,-1.0
2001-02-01,6.18,2.53,3.65,-2.53,1.05,0.65,-13.68,56.07,-0.17,48.43,51.16,37.13,-1.0,5.86,1.44,5.05,-0.81,-1.27,1.4,-78.06,46.22,-0.28,41.76,52.52,61.96,1.0,7.12,5.38,1.59,-5.53,-4.92,-0.18,-111.54,29.22,-0.24,43.61,57.9,94.41,1.0,6.58,6.58,0.39,-6.19,-1.39,1.08,-56.51,48.11,0.06,62.63,65.04,54.88,-1.0,1.0
2001-03-01,5.03,4.25,0.8,-4.23,-1.88,-0.24,-43.1,43.53,-0.27,42.51,48.27,68.8,1.0,6.18,2.53,3.65,-2.53,1.05,0.65,-13.68,56.07,-0.17,48.43,51.16,37.13,-1.0,5.86,1.44,5.05,-0.81,-1.27,1.4,-78.06,46.22,-0.28,41.76,52.52,61.96,1.0,7.12,5.38,1.59,-5.53,-4.92,-0.18,-111.54,29.22,-0.24,43.61,57.9,94.41,1.0,1.0
2001-04-01,7.02,5.45,1.52,-5.5,-3.4,0.06,-132.24,36.87,-0.45,36.6,44.38,69.66,1.0,5.03,4.25,0.8,-4.23,-1.88,-0.24,-43.1,43.53,-0.27,42.51,48.27,68.8,1.0,6.18,2.53,3.65,-2.53,1.05,0.65,-13.68,56.07,-0.17,48.43,51.16,37.13,-1.0,5.86,1.44,5.05,-0.81,-1.27,1.4,-78.06,46.22,-0.28,41.76,52.52,61.96,1.0,-1.0
2001-05-01,6.92,2.65,4.25,-2.67,0.25,-0.23,-72.27,51.39,-0.38,42.39,43.72,30.4,-1.0,7.02,5.45,1.52,-5.5,-3.4,0.06,-132.24,36.87,-0.45,36.6,44.38,69.66,1.0,5.03,4.25,0.8,-4.23,-1.88,-0.24,-43.1,43.53,-0.27,42.51,48.27,68.8,1.0,6.18,2.53,3.65,-2.53,1.05,0.65,-13.68,56.07,-0.17,48.43,51.16,37.13,-1.0,-1.0
2001-06-01,4.17,0.59,3.4,-0.76,1.07,0.09,30.24,54.92,-0.26,48.98,45.47,22.76,-1.0,6.92,2.65,4.25,-2.67,0.25,-0.23,-72.27,51.39,-0.38,42.39,43.72,30.4,-1.0,7.02,5.45,1.52,-5.5,-3.4,0.06,-132.24,36.87,-0.45,36.6,44.38,69.66,1.0,5.03,4.25,0.8,-4.23,-1.88,-0.24,-43.1,43.53,-0.27,42.51,48.27,68.8,1.0,-1.0
