date,h-l_1,c-o_1,h-cp_1,l-cp_1,diff_ema_1,diff_volume_1,cci_1,rsi_1,macd_1,kdjk_1,kdjd_1,wr_1,trend_1,h-l_2,c-o_2,h-cp_2,l-cp_2,diff_ema_2,diff_volume_2,cci_2,rsi_2,macd_2,kdjk_2,kdjd_2,wr_2,trend_2,h-l_3,c-o_3,h-cp_3,l-cp_3,diff_ema_3,diff_volume_3,cci_3,rsi_3,macd_3,kdjk_3,kdjd_3,wr_3,trend_3,h-l_4,c-o_4,h-cp_4,l-cp_4,diff_ema_4,diff_volume_4,cci_4,rsi_4,macd_4,kdjk_4,kdjd_4,wr_4,trend_4,target
2000-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
2000-05-29,0.41,0.22,,,-0.0,,,,0.0,66.67,55.56,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
2000-06-05,4.81,0.0,5.47,0.66,2.6,0.74,66.67,100.0,0.12,77.78,62.96,0.0,1.0,0.41,0.22,,,-0.0,,,,0.0,66.67,55.56,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
2000-06-12,1.69,0.34,1.22,-0.47,2.37,2.57,82.81,100.0,0.19,84.89,70.27,0.88,1.0,4.81,0.0,5.47,0.66,2.6,0.74,66.67,100.0,0.12,77.78,62.96,0.0,1.0,0.41,0.22,,,-0.0,,,,0.0,66.67,55.56,0.0,1.0,,,,,,,,,,,,,,1.0
2000-06-19,2.31,2.31,0.16,-2.16,0.71,-0.24,55.99,77.59,0.17,82.83,74.46,21.3,1.0,1.69,0.34,1.22,-0.47,2.37,2.57,82.81,100.0,0.19,84.89,70.27,0.88,1.0,4.81,0.0,5.47,0.66,2.6,0.74,66.67,100.0,0.12,77.78,62.96,0.0,1.0,0.41,0.22,,,-0.0,,,,0.0,66.67,55.56,0.0,1.0,1.0
2000-06-26,2.5,0.75,2.03,-0.47,0.5,0.55,54.33,76.66,0.15,79.47,76.13,27.24,1.0,2.31,2.31,0.16,-2.16,0.71,-0.24,55.99,77.59,0.17,82.83,74.46,21.3,1.0,1.69,0.34,1.22,-0.47,2.37,2.57,82.81,100.0,0.19,84.89,70.27,0.88,1.0,4.81,0.0,5.47,0.66,2.6,0.74,66.67,100.0,0.12,77.78,62.96,0.0,1.0,-1.0
2000-07-03,1.47,0.39,1.28,-0.19,1.0,2.21,50.72,80.2,0.17,80.59,77.62,17.17,-1.0,2.5,0.75,2.03,-0.47,0.5,0.55,54.33,76.66,0.15,79.47,76.13,27.24,1.0,2.31,2.31,0.16,-2.16,0.71,-0.24,55.99,77.59,0.17,82.83,74.46,21.3,1.0,1.69,0.34,1.22,-0.47,2.37,2.57,82.81,100.0,0.19,84.89,70.27,0.88,1.0,-1.0
2000-07-10,1.61,0.22,1.27,-0.34,1.68,-0.78,73.45,84.2,0.23,85.98,80.4,3.77,-1.0,1.47,0.39,1.28,-0.19,1.0,2.21,50.72,80.2,0.17,80.59,77.62,17.17,-1.0,2.5,0.75,2.03,-0.47,0.5,0.55,54.33,76.66,0.15,79.47,76.13,27.24,1.0,2.31,2.31,0.16,-2.16,0.71,-0.24,55.99,77.59,0.17,82.83,74.46,21.3,1.0,-1.0
2000-07-17,1.83,0.0,1.8,-0.03,2.68,0.31,116.95,88.32,0.34,89.8,83.54,5.38,-1.0,1.61,0.22,1.27,-0.34,1.68,-0.78,73.45,84.2,0.23,85.98,80.4,3.77,-1.0,1.47,0.39,1.28,-0.19,1.0,2.21,50.72,80.2,0.17,80.59,77.62,17.17,-1.0,2.5,0.75,2.03,-0.47,0.5,0.55,54.33,76.66,0.15,79.47,76.13,27.24,1.0,-1.0
2000-07-24,2.56,2.33,0.28,-2.28,0.33,0.24,73.34,60.61,0.29,84.0,83.69,58.16,-1.0,1.83,0.0,1.8,-0.03,2.68,0.31,116.95,88.32,0.34,89.8,83.54,5.38,-1.0,1.61,0.22,1.27,-0.34,1.68,-0.78,73.45,84.2,0.23,85.98,80.4,3.77,-1.0,1.47,0.39,1.28,-0.19,1.0,2.21,50.72,80.2,0.17,80.59,77.62,17.17,-1.0,1.0
