date,h-l_1,c-o_1,h-cp_1,l-cp_1,diff_ema_1,diff_volume_1,cci_1,rsi_1,macd_1,kdjk_1,kdjd_1,wr_1,trend_1,h-l_2,c-o_2,h-cp_2,l-cp_2,diff_ema_2,diff_volume_2,cci_2,rsi_2,macd_2,kdjk_2,kdjd_2,wr_2,trend_2,h-l_3,c-o_3,h-cp_3,l-cp_3,diff_ema_3,diff_volume_3,cci_3,rsi_3,macd_3,kdjk_3,kdjd_3,wr_3,trend_3,h-l_4,c-o_4,h-cp_4,l-cp_4,diff_ema_4,diff_volume_4,cci_4,rsi_4,macd_4,kdjk_4,kdjd_4,wr_4,trend_4,target
1993-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
1993-02-01,0.22,0.22,,,-0.0,,,,0.0,61.9,53.97,14.29,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0
1993-02-08,1.12,0.0,1.16,0.03,0.49,1.23,66.67,100.0,0.02,71.5,59.81,9.3,-1.0,0.22,0.22,,,-0.0,,,,0.0,61.9,53.97,14.29,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
1993-02-15,0.59,0.44,0.16,-0.44,0.07,-0.48,56.6,69.62,0.02,68.12,62.58,38.64,1.0,1.12,0.0,1.16,0.03,0.49,1.23,66.67,100.0,0.02,71.5,59.81,9.3,-1.0,0.22,0.22,,,-0.0,,,,0.0,61.9,53.97,14.29,1.0,,,,,,,,,,,,,,1.0
1993-02-22,1.66,1.66,-0.12,-1.78,-0.68,-0.14,-85.41,34.77,-0.02,56.23,60.46,67.57,1.0,0.59,0.44,0.16,-0.44,0.07,-0.48,56.6,69.62,0.02,68.12,62.58,38.64,1.0,1.12,0.0,1.16,0.03,0.49,1.23,66.67,100.0,0.02,71.5,59.81,9.3,-1.0,0.22,0.22,,,-0.0,,,,0.0,61.9,53.97,14.29,1.0,1.0
1993-03-01,0.97,0.22,0.88,-0.09,0.13,0.03,-16.77,56.26,-0.01,60.46,60.46,31.08,1.0,1.66,1.66,-0.12,-1.78,-0.68,-0.14,-85.41,34.77,-0.02,56.23,60.46,67.57,1.0,0.59,0.44,0.16,-0.44,0.07,-0.48,56.6,69.62,0.02,68.12,62.58,38.64,1.0,1.12,0.0,1.16,0.03,0.49,1.23,66.67,100.0,0.02,71.5,59.81,9.3,-1.0,-1.0
1993-03-08,0.97,0.34,0.78,-0.19,0.37,-0.36,67.21,62.33,0.01,67.5,62.81,18.42,-1.0,0.97,0.22,0.88,-0.09,0.13,0.03,-16.77,56.26,-0.01,60.46,60.46,31.08,1.0,1.66,1.66,-0.12,-1.78,-0.68,-0.14,-85.41,34.77,-0.02,56.23,60.46,67.57,1.0,0.59,0.44,0.16,-0.44,0.07,-0.48,56.6,69.62,0.02,68.12,62.58,38.64,1.0,-1.0
1993-03-15,1.03,0.03,1.09,0.06,0.57,0.71,113.98,67.71,0.04,70.08,65.23,24.74,-1.0,0.97,0.34,0.78,-0.19,0.37,-0.36,67.21,62.33,0.01,67.5,62.81,18.42,-1.0,0.97,0.22,0.88,-0.09,0.13,0.03,-16.77,56.26,-0.01,60.46,60.46,31.08,1.0,1.66,1.66,-0.12,-1.78,-0.68,-0.14,-85.41,34.77,-0.02,56.23,60.46,67.57,1.0,-1.0
1993-03-22,0.53,0.09,0.41,-0.12,0.42,-0.57,87.94,65.66,0.06,71.12,67.2,26.8,-1.0,1.03,0.03,1.09,0.06,0.57,0.71,113.98,67.71,0.04,70.08,65.23,24.74,-1.0,0.97,0.34,0.78,-0.19,0.37,-0.36,67.21,62.33,0.01,67.5,62.81,18.42,-1.0,0.97,0.22,0.88,-0.09,0.13,0.03,-16.77,56.26,-0.01,60.46,60.46,31.08,1.0,-1.0
1993-03-29,0.69,0.03,0.22,-0.47,0.26,-0.0,49.25,61.23,0.06,70.44,68.28,30.93,-1.0,0.53,0.09,0.41,-0.12,0.42,-0.57,87.94,65.66,0.06,71.12,67.2,26.8,-1.0,1.03,0.03,1.09,0.06,0.57,0.71,113.98,67.71,0.04,70.08,65.23,24.74,-1.0,0.97,0.34,0.78,-0.19,0.37,-0.36,67.21,62.33,0.01,67.5,62.81,18.42,-1.0,-1.0
1993-04-05,1.38,0.84,0.56,-0.81,-0.48,-0.09,-1.66,40.09,0.02,61.05,65.87,73.68,-1.0,0.69,0.03,0.22,-0.47,0.26,-0.0,49.25,61.23,0.06,70.44,68.28,30.93,-1.0,0.53,0.09,0.41,-0.12,0.42,-0.57,87.94,65.66,0.06,71.12,67.2,26.8,-1.0,1.03,0.03,1.09,0.06,0.57,0.71,113.98,67.71,0.04,70.08,65.23,24.74,-1.0,1.0
1993-04-12,0.47,0.38,0.44,-0.03,-0.25,0.15,-40.02,45.32,0.0,56.85,62.86,87.72,1.0,1.38,0.84,0.56,-0.81,-0.48,-0.09,-1.66,40.09,0.02,61.05,65.87,73.68,-1.0,0.69,0.03,0.22,-0.47,0.26,-0.0,49.25,61.23,0.06,70.44,68.28,30.93,-1.0,0.53,0.09,0.41,-0.12,0.42,-0.57,87.94,65.66,0.06,71.12,67.2,26.8,-1.0,-1.0
1993-04-19,0.5,0.06,0.88,0.38,0.36,0.59,57.89,59.98,0.03,61.27,62.33,50.88,-1.0,0.47,0.38,0.44,-0.03,-0.25,0.15,-40.02,45.32,0.0,56.85,62.86,87.72,1.0,1.38,0.84,0.56,-0.81,-0.48,-0.09,-1.66,40.09,0.02,61.05,65.87,73.68,-1.0,0.69,0.03,0.22,-0.47,0.26,-0.0,49.25,61.23,0.06,70.44,68.28,30.93,-1.0,1.0
1993-04-26,1.38,1.25,0.12,-1.25,-0.72,-0.13,-61.26,37.91,-0.03,44.79,56.48,96.55,1.0,0.5,0.06,0.88,0.38,0.36,0.59,57.89,59.98,0.03,61.27,62.33,50.88,-1.0,0.47,0.38,0.44,-0.03,-0.25,0.15,-40.02,45.32,0.0,56.85,62.86,87.72,1.0,1.38,0.84,0.56,-0.81,-0.48,-0.09,-1.66,40.09,0.02,61.05,65.87,73.68,-1.0,1.0
1993-05-03,1.0,0.5,0.53,-0.47,-0.39,-0.32,-96.86,43.79,-0.05,39.62,50.86,65.71,1.0,1.38,1.25,0.12,-1.25,-0.72,-0.13,-61.26,37.91,-0.03,44.79,56.48,96.55,1.0,0.5,0.06,0.88,0.38,0.36,0.59,57.89,59.98,0.03,61.27,62.33,50.88,-1.0,0.47,0.38,0.44,-0.03,-0.25,0.15,-40.02,45.32,0.0,56.85,62.86,87.72,1.0,1.0
1993-05-10,0.84,0.19,0.72,-0.12,-0.07,-0.04,-31.97,50.09,-0.04,40.23,47.32,51.43,1.0,1.0,0.5,0.53,-0.47,-0.39,-0.32,-96.86,43.79,-0.05,39.62,50.86,65.71,1.0,1.38,1.25,0.12,-1.25,-0.72,-0.13,-61.26,37.91,-0.03,44.79,56.48,96.55,1.0,0.5,0.06,0.88,0.38,0.36,0.59,57.89,59.98,0.03,61.27,62.33,50.88,-1.0,1.0
