date,h-l_1,c-o_1,h-cp_1,l-cp_1,diff_ema_1,diff_volume_1,cci_1,rsi_1,macd_1,kdjk_1,kdjd_1,wr_1,trend_1,h-l_2,c-o_2,h-cp_2,l-cp_2,diff_ema_2,diff_volume_2,cci_2,rsi_2,macd_2,kdjk_2,kdjd_2,wr_2,trend_2,h-l_3,c-o_3,h-cp_3,l-cp_3,diff_ema_3,diff_volume_3,cci_3,rsi_3,macd_3,kdjk_3,kdjd_3,wr_3,trend_3,h-l_4,c-o_4,h-cp_4,l-cp_4,diff_ema_4,diff_volume_4,cci_4,rsi_4,macd_4,kdjk_4,kdjd_4,wr_4,trend_4,target
1998-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
1998-12-28,0.94,0.0,,,0.0,,,,0.0,66.67,55.56,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
1999-01-04,0.66,0.3,0.28,-0.38,0.12,0.56,66.67,100.0,0.01,76.92,62.68,2.56,1.0,0.94,0.0,,,0.0,,,,0.0,66.67,55.56,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
1999-01-11,1.2,0.47,0.98,-0.22,0.69,6.44,100.0,100.0,0.04,84.62,69.99,0.0,1.0,0.66,0.3,0.28,-0.38,0.12,0.56,66.67,100.0,0.01,76.92,62.68,2.56,1.0,0.94,0.0,,,0.0,,,,0.0,66.67,55.56,0.0,1.0,,,,,,,,,,,,,,1.0
1999-01-18,1.47,1.19,0.27,-1.2,0.39,-0.08,69.14,86.42,0.05,83.97,74.65,17.31,1.0,1.2,0.47,0.98,-0.22,0.69,6.44,100.0,100.0,0.04,84.62,69.99,0.0,1.0,0.66,0.3,0.28,-0.38,0.12,0.56,66.67,100.0,0.01,76.92,62.68,2.56,1.0,0.94,0.0,,,0.0,,,,0.0,66.67,55.56,0.0,1.0,1.0
1999-01-25,1.72,0.88,1.3,-0.42,0.17,-0.55,93.51,74.3,0.04,74.69,74.67,43.87,1.0,1.47,1.19,0.27,-1.2,0.39,-0.08,69.14,86.42,0.05,83.97,74.65,17.31,1.0,1.2,0.47,0.98,-0.22,0.69,6.44,100.0,100.0,0.04,84.62,69.99,0.0,1.0,0.66,0.3,0.28,-0.38,0.12,0.56,66.67,100.0,0.01,76.92,62.68,2.56,1.0,1.0
1999-02-01,0.67,0.02,0.67,0.0,0.59,4.25,80.58,84.16,0.07,74.32,74.55,26.42,1.0,1.72,0.88,1.3,-0.42,0.17,-0.55,93.51,74.3,0.04,74.69,74.67,43.87,1.0,1.47,1.19,0.27,-1.2,0.39,-0.08,69.14,86.42,0.05,83.97,74.65,17.31,1.0,1.2,0.47,0.98,-0.22,0.69,6.44,100.0,100.0,0.04,84.62,69.99,0.0,1.0,1.0
1999-02-08,0.89,0.75,0.27,-0.62,0.28,-0.67,68.11,70.19,0.07,71.56,73.56,40.91,1.0,0.67,0.02,0.67,0.0,0.59,4.25,80.58,84.16,0.07,74.32,74.55,26.42,1.0,1.72,0.88,1.3,-0.42,0.17,-0.55,93.51,74.3,0.04,74.69,74.67,43.87,1.0,1.47,1.19,0.27,-1.2,0.39,-0.08,69.14,86.42,0.05,83.97,74.65,17.31,1.0,1.0
1999-02-15,1.09,0.94,0.28,-0.81,0.12,0.08,32.54,63.83,0.06,68.46,71.86,53.33,1.0,0.89,0.75,0.27,-0.62,0.28,-0.67,68.11,70.19,0.07,71.56,73.56,40.91,1.0,0.67,0.02,0.67,0.0,0.59,4.25,80.58,84.16,0.07,74.32,74.55,26.42,1.0,1.72,0.88,1.3,-0.42,0.17,-0.55,93.51,74.3,0.04,74.69,74.67,43.87,1.0,1.0
1999-02-22,0.61,0.23,0.5,-0.11,0.44,-0.78,76.41,73.0,0.08,70.33,71.35,36.67,1.0,1.09,0.94,0.28,-0.81,0.12,0.08,32.54,63.83,0.06,68.46,71.86,53.33,1.0,0.89,0.75,0.27,-0.62,0.28,-0.67,68.11,70.19,0.07,71.56,73.56,40.91,1.0,0.67,0.02,0.67,0.0,0.59,4.25,80.58,84.16,0.07,74.32,74.55,26.42,1.0,1.0
